Airfoil,CL,CD,CM,CL/CD
FX 72-LS-160,[1.55890773],[0.00552643],[-0.21149335],[282.08213899]
WORTMANN FX 72-MS-150B AIRFOIL,[1.77308171],[0.00688133],[-0.27459939],[257.6654452]
CH10 (smoothed),[1.85571952],[0.0072327],[-0.29890317],[256.57338117]
FX 73-170 A,[1.25673542],[0.00495963],[-0.15325951],[253.39293528]
WORTMANN FX 72-MS-150A AIRFOIL,[1.61319116],[0.00640446],[-0.2383967],[251.88545534]
IST-MT1-15,[1.7177556],[0.0068941],[-0.28135025],[249.16306851]
FX 67-K-170/17 AIRFOIL,[1.13563219],[0.00457757],[-0.12046886],[248.08609649]
UNIVERSITY OF GLASGOW GU25-5(11)8 AIRFOIL,[1.3519274],[0.00554195],[-0.16365839],[243.94437353]
DAE-11 AIRFOIL,[1.23407393],[0.00512625],[-0.13275096],[240.73639744]
AH 95-160,[1.2545926],[0.00521169],[-0.14479963],[240.72673675]
FX74_CL5_140,[1.85617053],[0.00797466],[-0.26841943],[232.75846377]
AH 94-145,[1.27668364],[0.00549081],[-0.15129126],[232.51283464]
RONCZ 1046 VOYAGER CANARD AIRFOIL,[1.23977174],[0.00537027],[-0.13412026],[230.85840444]
JN-153 AIRFOIL,[1.51135661],[0.00655183],[-0.17051393],[230.67684501]
IST-MT1-18,[1.75718086],[0.0076279],[-0.26929504],[230.36241523]
FX 67-K-150/17 AIRFOIL,[1.10209012],[0.00482076],[-0.11629856],[228.61335027]
FX 74-Cl5-140 MOD  (smoothed),[1.88162944],[0.00824486],[-0.28175744],[228.21857027]
GOE 447 AIRFOIL,[1.43753974],[0.00640311],[-0.1887408],[224.50642767]
FX 76-MP-120,[1.56223992],[0.00705781],[-0.22952531],[221.34905722]
FX 74-CL6-140,[1.41126649],[0.00648451],[-0.16267771],[217.63640662]
E423,[1.65865879],[0.00763287],[-0.23710459],[217.30469753]
FX 78-K-140/20,[0.90208236],[0.00415847],[-0.06278863],[216.92672374]
DRAGONFLY CANARD,[1.17784444],[0.00543213],[-0.11559813],[216.8293006]
DAE-21 AIRFOIL,[1.24560857],[0.00583414],[-0.13712925],[213.50351322]
WORTMANN FX 08-S-176 AIRFOIL,[1.19260608],[0.00558628],[-0.11685304],[213.48851469]
FX 76-MP-140,[1.51968965],[0.00720945],[-0.21674975],[210.79141814]
FX 73-K-170/22,[1.25174224],[0.00596337],[-0.16443287],[209.90509145]
GOE 448 AIRFOIL,[1.67756417],[0.00800929],[-0.23945708],[209.45241599]
"UA(2)-180 smoothed, original ycoord oscillate +-0.0003",[1.21175117],[0.0057975],[-0.10358744],[209.01277767]
EPPLER 654 AIRFOIL,[1.24921571],[0.00599779],[-0.15290031],[208.27946185]
EPPLER 420 AIRFOIL,[1.71717549],[0.00826602],[-0.23899821],[207.7389936]
EPPLER 376 AIRFOIL,[1.21806651],[0.00587024],[-0.11131842],[207.49852841]
WORTMANN FX 057-816,[1.06989408],[0.00516461],[-0.09146146],[207.15864618]
EPPLER 656 AIRFOIL,[1.18038047],[0.00570615],[-0.13405273],[206.86092929]
NACA 1-H-15 AIRFOIL,[0.94557651],[0.00457355],[-0.05826121],[206.74913472]
GOE 446 AIRFOIL,[1.29565859],[0.00628831],[-0.16141723],[206.04234824]
FX 73-170,[1.24540298],[0.0060475],[-0.16478719],[205.93667899]
UA(2)-180 (University of Alberta/Marsden),[1.21982359],[0.00596791],[-0.10653336],[204.39723653]
DOUGLAS LA203A AIRFOIL,[1.40874399],[0.00690723],[-0.19159986],[203.95207309]
IST-MT1-21,[1.51018908],[0.00741321],[-0.22671494],[203.71604165]
WORTMANN FX 049-915 AIRFOIL,[1.07790622],[0.00529634],[-0.07334904],[203.51922242]
EPPLER 377 AIRFOIL,[1.23710748],[0.00608449],[-0.12041158],[203.32157103]
GOE 592 AIRFOIL,[1.34187016],[0.00660103],[-0.15504745],[203.28198568]
EPPLER 1098 AIRFOIL,[1.12419795],[0.00554152],[-0.13393258],[202.86804006]
MILEY M06-13-128,[0.91623178],[0.00452545],[-0.0407356],[202.46214142]
EPPLER 583 AIRFOIL,[1.11009467],[0.00552585],[-0.11402338],[200.89112049]
FX 78-K-140 A/20,[1.04696966],[0.00522541],[-0.1033558],[200.36132243]
GOE 242 (MVA PR.2) AIRFOIL,[1.6382963],[0.00818059],[-0.23522963],[200.26625584]
EPPLER 398 AIRFOIL,[1.28016147],[0.00640136],[-0.16774226],[199.98277396]
GOE 238 (HANSA-BRANDENBURG) AIRFOIL,[1.03193269],[0.00516487],[-0.07461249],[199.79839888]
EPPLER 584 AIRFOIL,[1.09066166],[0.00546615],[-0.10743151],[199.5302669]
AH 93-W-145,[1.06674915],[0.00535988],[-0.10527681],[199.02490601]
EPPLER 432 AIRFOIL,[1.16188441],[0.00583972],[-0.12639702],[198.96243782]
DAE-31 AIRFOIL,[1.29097956],[0.00650219],[-0.15502596],[198.5453214]
