Airfoil,Alpha,CL,CD,CM,CL/CD
sc20402,-5,[-0.44339584],[0.0349628],[-0.02737091],[-12.68193283]
sc20402,0,[0.15403553],[0.00501829],[-0.03675968],[30.69481977]
sc20402,5,[0.68582935],[0.05683424],[-0.03509463],[12.06718617]
sc20402,10,[0.85107611],[0.14776153],[-0.09079679],[5.75979475]
sc20402,15,[0.97882337],[0.22724998],[-0.12823977],[4.30725393]
fx66s171,-5,[-0.09225255],[0.00736981],[-0.09310512],[-12.51762656]
fx66s171,0,[0.47664073],[0.00519536],[-0.09653714],[91.74360023]
fx66s171,5,[1.05256255],[0.00579904],[-0.10250957],[181.50638999]
fx66s171,10,[1.41701053],[0.01449119],[-0.07500912],[97.78430239]
fx66s171,15,[1.59410574],[0.04227701],[-0.05649608],[37.70620625]
goe199,-5,[-0.08092673],[0.00841114],[-0.08196214],[-9.6213746]
goe199,0,[0.49685486],[0.00715004],[-0.08660399],[69.48978343]
goe199,5,[1.05885461],[0.00672009],[-0.08968927],[157.56560564]
goe199,10,[1.58610239],[0.01296874],[-0.09028094],[122.30192831]
goe199,15,[1.93785679],[0.02433251],[-0.06629686],[79.64063006]
p51droot,-5,[-0.40790989],[0.00741095],[-0.03205347],[-55.04151221]
p51droot,0,[0.18208926],[0.00470927],[-0.04170582],[38.66609296]
p51droot,5,[0.76269245],[0.00757524],[-0.0484933],[100.6823061]
p51droot,10,[1.29275209],[0.01227444],[-0.04876427],[105.32063407]
p51droot,15,[1.65374359],[0.02279613],[-0.0304753],[72.54492626]
e407,-5,[0.06621735],[0.00549459],[-0.15964765],[12.05136228]
e407,0,[0.64229922],[0.00386262],[-0.16909807],[166.28601749]
e407,5,[1.10280098],[0.0094131],[-0.15225835],[117.1560007]
e407,10,[1.52692184],[0.01560145],[-0.13192474],[97.87053388]
e407,15,[1.82081645],[0.02973807],[-0.09869536],[61.22846224]
goe115,-5,[-0.16178464],[0.0066313],[-0.09000767],[-24.3971308]
goe115,0,[0.406602],[0.00486552],[-0.092164],[83.56796701]
goe115,5,[0.93307835],[0.00836386],[-0.0896743],[111.56079202]
goe115,10,[1.42725343],[0.01382316],[-0.08208351],[103.25090461]
goe115,15,[1.69892094],[0.03141144],[-0.05217028],[54.08606107]
goe16k,-5,[-0.04997746],[0.00796203],[-0.11994342],[-6.27697027]
goe16k,0,[0.36901515],[0.00729007],[-0.08985375],[50.61885101]
goe16k,5,[0.5703183],[0.01293246],[-0.02513223],[44.09975932]
goe16k,10,[0.9219539],[0.02433612],[-0.00459779],[37.88417154]
goe16k,15,[1.23693483],[0.03403921],[0.02006037],[36.33853379]
mh126,-5,[0.28368102],[0.00747399],[-0.15830433],[37.95574118]
mh126,0,[0.84873676],[0.00685485],[-0.16416333],[123.8155453]
mh126,5,[1.29900157],[0.00949058],[-0.15511775],[136.87273461]
mh126,10,[1.58297331],[0.02450787],[-0.13216247],[64.59041177]
mh126,15,[1.71894447],[0.053317],[-0.10623],[32.24008351]
goe629,-5,[-0.21590787],[0.00600251],[-0.079595],[-35.96958095]
goe629,0,[0.32220639],[0.00574124],[-0.07222198],[56.12141617]
goe629,5,[0.8097169],[0.0063211],[-0.05602667],[128.09753129]
goe629,10,[1.32040121],[0.01162545],[-0.05038522],[113.57849166]
goe629,15,[1.64246735],[0.02068096],[-0.01812025],[79.41930819]
m26,-5,[-0.14105685],[0.06784202],[-0.01700136],[-2.079196]
m26,0,[0.45041965],[0.0067447],[-0.04330878],[66.78126724]
m26,5,[1.02426221],[0.00630735],[-0.05117614],[162.39185606]
m26,10,[1.52690183],[0.01627873],[-0.06072936],[93.7973623]
m26,15,[1.61413386],[0.0569895],[-0.05191422],[28.32335617]
goe427,-5,[0.06970582],[0.0074135],[-0.12627603],[9.40255067]
goe427,0,[0.60206695],[0.00510161],[-0.12066115],[118.01497822]
goe427,5,[1.09899087],[0.00778344],[-0.11212577],[141.19597387]
goe427,10,[1.56003658],[0.01445779],[-0.09842543],[107.90287423]
goe427,15,[1.7259947],[0.03842216],[-0.05238346],[44.92185723]
naca654421,-5,[-0.23223721],[0.00741521],[-0.06710458],[-31.31902642]
naca654421,0,[0.37717196],[0.00456203],[-0.0841096],[82.6763015]
naca654421,5,[0.961732],[0.00683599],[-0.09587915],[140.68666221]
naca654421,10,[1.31253659],[0.01878941],[-0.07435894],[69.85513331]
naca654421,15,[1.5971252],[0.04034896],[-0.06287811],[39.58280901]
e560,-5,[0.13322298],[0.00596707],[-0.1652927],[22.32637257]
e560,0,[0.7075733],[0.00614249],[-0.16573542],[115.19328744]
e560,5,[1.26430841],[0.0073417],[-0.16417256],[172.20928177]
e560,10,[1.70858784],[0.01160804],[-0.14299514],[147.19004021]
e560,15,[1.88490431],[0.03062309],[-0.09477023],[61.55173788]
clarky,-5,[-0.17364903],[0.00645602],[-0.08221324],[-26.89721515]
clarky,0,[0.39294364],[0.00557328],[-0.08262098],[70.50490908]
clarky,5,[0.94968482],[0.00618482],[-0.08281523],[153.55100444]
clarky,10,[1.41891905],[0.01246943],[-0.06933426],[113.79181477]
clarky,15,[1.75463726],[0.02366509],[-0.04365221],[74.14455262]
vr13,-5,[-0.45448285],[0.00718222],[-0.00058595],[-63.27886499]
vr13,0,[0.1103175],[0.00656617],[-0.0010977],[16.80090112]
vr13,5,[0.68911059],[0.0060327],[-0.0074076],[114.22918713]
vr13,10,[1.26288337],[0.00991849],[-0.01554424],[127.32617699]
vr13,15,[1.64047564],[0.01978492],[0.00759366],[82.91545625]
sg6050,-5,[-0.19827399],[0.00691662],[-0.07704601],[-28.66632742]
sg6050,0,[0.40494668],[0.00547747],[-0.08783126],[73.92946701]
sg6050,5,[0.98529237],[0.00700568],[-0.09581926],[140.64188561]
sg6050,10,[1.43725568],[0.01372892],[-0.08236589],[104.68819585]
sg6050,15,[1.68080466],[0.03312366],[-0.0543014],[50.74332983]
m10,-5,[-0.41346644],[0.00665309],[-0.02277694],[-62.14655575]
m10,0,[0.15357622],[0.00537832],[-0.02469221],[28.55467793]
m10,5,[0.7048716],[0.00679777],[-0.02702029],[103.69162486]
m10,10,[1.23342741],[0.01243222],[-0.02536527],[99.21219632]
m10,15,[1.62470236],[0.02860431],[-0.01123615],[56.79922069]
m11,-5,[-0.42384703],[0.00670307],[-0.01801956],[-63.23174764]
m11,0,[0.11910644],[0.00536895],[-0.0136467],[22.18430812]
m11,5,[0.7103482],[0.00653509],[-0.02311741],[108.69750712]
m11,10,[1.24388813],[0.01123679],[-0.0228171],[110.69777805]
m11,15,[1.58488371],[0.02037826],[0.00823226],[77.77325888]
e361,-5,[-0.44230135],[0.00751328],[-0.00603621],[-58.8693023]
e361,0,[0.08817662],[0.0041556],[5.21933023e-06],[21.21875547]
e361,5,[0.62282851],[0.00620559],[0.00390227],[100.36565524]
e361,10,[1.17802742],[0.00983737],[-0.00019475],[119.7502241]
e361,15,[1.55346581],[0.01831377],[0.02107462],[84.82500608]
n13,-5,[-0.48169914],[0.00597801],[-0.01671693],[-80.57846529]
n13,0,[0.01968632],[0.00458104],[-0.00555621],[4.29734612]
n13,5,[0.52330667],[0.00643442],[0.00538433],[81.32928948]
n13,10,[1.05678149],[0.01045938],[0.00838411],[101.03674995]
n13,15,[1.48704566],[0.01754816],[0.0254949],[84.74081787]
ag36,-5,[-0.16247528],[0.00603431],[-0.0456247],[-26.92525111]
ag36,0,[0.40010064],[0.00452482],[-0.04639369],[88.42356588]
ag36,5,[0.94406732],[0.00766957],[-0.04450174],[123.09259432]
ag36,10,[1.45960521],[0.01384414],[-0.04020631],[105.43127016]
ag36,15,[1.78464401],[0.02863985],[-0.01527551],[62.31330931]
dae51,-5,[-0.10217818],[0.00629959],[-0.09879507],[-16.21982531]
dae51,0,[0.48193709],[0.00494031],[-0.1032615],[97.55206227]
dae51,5,[1.02716914],[0.00667254],[-0.10338034],[153.93973856]
dae51,10,[1.53983871],[0.01302389],[-0.09976614],[118.23185493]
dae51,15,[1.86760509],[0.02530393],[-0.07273089],[73.80692656]
ah94145,-5,[0.07761778],[0.00664177],[-0.12784439],[11.68631683]
ah94145,0,[0.68641329],[0.00524179],[-0.1397097],[130.95020309]
ah94145,5,[1.27668364],[0.00549081],[-0.15129126],[232.51283464]
ah94145,10,[1.65489407],[0.01690129],[-0.1299276],[97.91525294]
ah94145,15,[1.84439051],[0.04558572],[-0.10739359],[40.45982875]
m20,-5,[-0.20970943],[0.00878576],[-0.04408408],[-23.86925336]
m20,0,[0.36098213],[0.00626996],[-0.04681505],[57.57324937]
m20,5,[0.92665083],[0.00495331],[-0.05092784],[187.07702393]
m20,10,[1.45613618],[0.01280495],[-0.05643568],[113.71666974]
m20,15,[1.71309375],[0.03386228],[-0.04009953],[50.59002839]
goe342,-5,[0.09004099],[0.0091319],[-0.13979624],[9.86004782]
goe342,0,[0.68256652],[0.00628844],[-0.14550764],[108.54304192]
goe342,5,[1.23762403],[0.00792696],[-0.14682692],[156.12845937]
goe342,10,[1.74625865],[0.0131837],[-0.14207877],[132.45586394]
goe342,15,[2.04705788],[0.026684],[-0.10837813],[76.71480423]
fx73170a,-5,[0.07256377],[0.00698815],[-0.12436364],[10.3838318]
fx73170a,0,[0.66657904],[0.004359],[-0.13848842],[152.92018629]
fx73170a,5,[1.25673542],[0.00495963],[-0.15325951],[253.39293528]
fx73170a,10,[1.49221347],[0.02470812],[-0.11897896],[60.39363445]
fx73170a,15,[1.67403232],[0.05324529],[-0.09714473],[31.44000929]
mh18,-5,[-0.40793399],[0.00742509],[-0.01343658],[-54.93993559]
mh18,0,[0.15078856],[0.00483215],[-0.01378952],[31.20529066]
mh18,5,[0.75034385],[0.00559237],[-0.02597819],[134.1728169]
mh18,10,[1.29305465],[0.01220995],[-0.03366705],[105.90172541]
mh18,15,[1.54187834],[0.02597971],[-0.00161226],[59.3493339]
clarkk,-5,[-0.20015276],[0.00667574],[-0.07896571],[-29.98209936]
clarkk,0,[0.37524832],[0.00578913],[-0.08111088],[64.8194174]
clarkk,5,[0.92339406],[0.00636173],[-0.07974047],[145.14821359]
clarkk,10,[1.40664874],[0.01311736],[-0.0691436],[107.23567792]
clarkk,15,[1.70505345],[0.02735892],[-0.03976392],[62.32167039]
s8021,-5,[-0.55269477],[0.00626298],[-0.00118285],[-88.24785359]
s8021,0,[-4.4408921e-16],[0.00470378],[2.66453526e-16],[-9.44110498e-14]
s8021,5,[0.55269477],[0.00626298],[0.00118285],[88.24785359]
s8021,10,[1.09070859],[0.01143437],[0.00355774],[95.38860248]
s8021,15,[1.53954704],[0.02467823],[0.01119426],[62.38481736]
